,grade
411,A
412,E
413,B
414,C
415,B
416,C
417,B
418,A
419,B
420,A
421,A
422,C
423,A
424,C
425,E
426,C
427,A
428,B
429,D
430,C
431,E
432,C
433,B
434,A
435,D
436,D
437,A
438,B
439,A
440,B
441,A
442,A
443,A
444,A
445,A
446,E
447,A
448,D
449,B
450,D
451,B
452,B
453,C
454,B
455,B
456,B
457,A
458,D
459,B
460,A
461,A
462,D
463,A
464,B
465,B
466,D
467,E
468,B
469,D
470,B
471,A
472,C
473,A
474,B
475,D
476,D
477,D
478,B
479,D
480,A
481,B
482,A
483,A
484,C
485,B
486,B
487,A
488,E
489,A
490,C
491,E
492,C
493,A
494,C
495,B
496,E
497,A
498,C
499,B
500,C
501,B
502,B
503,D
504,B
505,C
506,C
507,B
508,B
509,C
510,C
511,B
512,B
513,D
514,B
515,C
516,D
517,C
518,B
519,C
520,D
521,C
522,E
523,C
524,D
525,A
526,B
527,B
528,A
529,C
530,B
531,E
532,E
533,A
534,A
535,B
536,B
537,C
538,B
539,E
540,G
541,D
542,F
543,C
544,D
545,C
546,D
547,B
548,B
549,A
550,D
551,D
552,C
553,B
554,B
555,A
556,A
557,B
558,C
559,C
560,A
561,B
562,B
563,A
564,A
565,B
566,E
567,B
568,C
569,D
570,B
571,A
572,E
573,B
574,D
575,B
576,B
577,C
578,A
579,B
580,A
581,D
582,D
583,B
584,B
585,D
586,B
587,B
588,D
589,D
590,C
591,E
592,B
593,D
594,F
595,B
596,B
597,E
598,E
599,A
600,B
601,B
602,G
603,B
604,C
605,B
606,E
607,D
608,E
609,C
610,A
611,A
612,B
613,E
614,B
615,D
616,C
617,D
618,G
619,B
620,B
621,D
622,B
623,B
624,D
625,C
626,A
627,A
628,E
629,A
630,E
631,D
632,B
633,B
634,B
635,B
636,D
637,B
638,C
639,A
640,A
641,A
642,E
643,C
644,B
645,C
646,C
647,B
648,B
649,A
650,C
651,D
652,B
653,C
654,B
655,E
656,C
657,D
658,D
659,B
660,A
661,D
662,B
663,A
664,B
665,C
666,B
667,E
668,B
669,B
670,A
671,D
672,E
673,C
674,C
675,A
676,C
677,A
678,D
679,B
680,A
681,B
682,A
683,B
684,B
685,A
686,B
687,B
688,E
689,B
690,E
691,A
692,D
693,B
694,B
695,B
696,B
697,C
698,B
699,C
700,B
701,B
702,C
703,D
704,B
705,C
706,C
707,B
708,E
709,C
710,B
711,A
712,B
713,C
714,D
715,E
716,C
717,A
718,E
719,C
720,C
721,A
722,D
723,A
724,C
725,A
726,A
727,A
728,C
729,C
730,D
731,D
732,B
733,B
734,D
735,G
736,B
737,C
738,B
739,B
740,A
741,A
742,B
743,B
744,A
745,B
746,C
747,C
748,B
749,D
750,E
751,C
752,B
753,E
754,B
755,B
756,C
757,D
758,D
759,C
760,B
761,C
762,C
763,B
764,A
765,C
766,B
767,F
768,D
769,A
770,D
771,A
772,B
773,D
774,A
775,B
776,C
777,B
778,B
779,B
780,C
781,A
782,A
783,E
784,E
785,A
786,D
787,C
788,B
789,C
790,C
791,B
792,A
793,B
794,B
795,D
796,A
797,C
798,A
799,B
800,B
801,C
802,C
803,D
804,C
805,A
806,C
807,B
808,B
809,C
810,D
811,C
812,B
813,A
814,D
815,C
816,B
817,D
818,A
819,B
820,C
821,D
822,B
823,B
824,A
825,D
826,B
827,C
828,D
829,D
830,C
831,C
832,A
833,A
834,E
835,F
836,B
837,E
838,E
839,C
840,D
841,B
842,E
843,C
844,B
845,E
846,A
847,C
848,C
849,A
850,A
851,C
852,B
853,B
854,D
855,B
856,B
857,D
858,E
859,C
860,C
861,A
862,B
863,A
864,A
865,C
866,B
867,D
868,E
869,B
870,A
871,B
872,D
873,A
874,A
875,B
876,B
877,A
878,F
879,A
880,B
881,C
882,D
883,A
884,C
885,A
886,B
887,B
888,B
889,F
890,C
891,B
892,B
893,E
894,D
895,C
896,B
897,A
898,D
899,B
900,C
901,A
902,C
903,B
904,D
905,B
906,B
907,A
908,E
909,A
910,C
911,B
912,B
913,B
914,A
915,B
916,C
917,C
918,F
919,A
920,B
921,F
922,D
923,D
924,B
925,B
926,A
927,B
928,F
929,B
930,E
931,A
932,C
933,A
934,D
935,B
936,A
937,D
938,A
939,B
940,C
941,C
942,C
943,D
944,C
945,C
946,B
947,C
948,D
949,B
950,C
951,B
952,B
953,B
954,D
955,A
956,E
957,B
958,C
959,A
960,B
961,D
962,D
963,D
964,A
965,B
966,F
967,A
968,C
969,C
970,F
971,D
972,B
973,C
974,B
975,A
976,C
977,B
978,B
979,B
980,A
981,B
982,B
983,D
984,B
985,B
986,E
987,C
988,E
989,F
990,D
991,C
992,B
993,A
994,A
995,C
996,B
997,B
998,E
999,D
